starting time: 24.38
Read 347 files
reduced frequency method
number of words in files: 12848612
removing most frequent words
removing numbers
removing english words
removing words with a relative frequency below:  15
--- 8912.098001 seconds ---

word                    r_freq      f_freq
1200talet                    19         76
1500talet                    32         96
1600talet                    40        172
1700talet                    75        479
1800talet                   146        508
1900talet                    85        204
1920talet                    21         52
1930talet                    23         64
1950talet                    46        105
1960talet                    70        201
1960åra                     15         33
1970talet                    98        279
1970åra                     29         80
1980talet                    81        250
1980åra                     16         37
1990talet                   102        341
1a                           17         36
2000talet                    35        164
2001b                        15         64
2002a                        17         87
2002b                        19        106
2003b                        16         53
2005a                        16         69
2005b                        17         84
2006a                        18        113
2006b                        20         89
2007a                        20         96
2007b                        20         76
2008a                        21        136
2008b                        20         97
2009a                        15         55
2010a                        22        115
2010b                        20        113
2011a                        19         57
2011b                        20         73
2012a                        17         87
2012b                        18         86
2a                           20         84
2b                           17        117
3a                           15         38
50talet                      19         57
60talet                      31         78
70talet                      62        183
80talet                      54        204
90talet                      43        172
9a                           16        133
a1                           21         82
a2                           15         60
aa                          141       2749
aar                          37        401
aasen                        38        181
aat                          15        373
aber                         17         78
abraham                      20         60
abstraksjon                  20         58
abstrakt                    122        311
abstrakte                    87        216
ac                           22        104
acta                         20         45
adam                         25         89
adams                        19         97
adekvat                      40        110
adekvate                     17         39
adelen                       19        127
adgang                       37        113
adhd                         18        207
adjektiv                     49        255
adjektivet                   19         51
administrasjon               47        133
administrasjonen             39        162
administrativ                30         88
administrativt               31         70
administrert                 17         31
adoptert                     15         60
adorno                       17        157
adresse                      33         71
advokat                      26         95
af                          349       1671
affektiv                     16         43
affektive                    19         78
afghanistan                  29        298
africa                       18        111
afrika                       37        238
afrikanske                   22        169
aftenposten                 131        829
ag                           38        431
agder                        35        123
agendaen                     29         80
agens                        17        111
agentar                      19         50
aggresjon                    18         48
aggressiv                    29         59
aj                           15         33
ak                           19         59
akademia                     27         53
akademikarar                 25         52
akademisk                   213        605
akademiske                  102        233
aker                         23         87
akershus                     59        252
akkompagnert                 16         24
akkord                       24         57
akse                         16         38
aksen                        31        221
aksept                      100        263
akseptabel                   35         64
akseptabelt                  29         59
akseptable                   21         41
akseptera                    26         72
akseptere                    81        170
aksepterer                   65        142
akseptert                   163        329
aksepterte                   54        117
aksjon                       24         55
aksjonar                     20         72
aksjonen                     19         53
aktivering                   16        103
aktivert                     24         72
aktivistane                  16        140
aktivistar                   19        138
aktivitetane                101        373
aktivitetar                 322       1081
aktivitetsnivå              15         29
aktualisert                  34         64
aktualitet                   32         62
aktør                      225        981
aktørane                   335       1498
aktørar                    471       1858
aktøren                     77        683
aktører                     19         41
akutt                        34         96
akutte                       21         52
al                          688       2956
alan                         27         95
albert                       35        165
aldeles                      15         38
aldersgruppa                 41        124
aldersgrupper                17         27
aldrar                       18         40
aldrig                       28         72
aleine                      148        427
alexander                    35         89
alf                          29        123
alfabetisk                   15         41
alfred                       29         94
ali                          23        157
alkohol                      38        160
alla                         26         69
allan                        20         39
allen                        34        122
allereie                   1098       2388
allern                       22        321
alles                        17         34
alliansar                    25         82
allianse                     36        133
alliansen                    30        159
allierte                     28         99
allikevel                    22         65
allmenn                      91        207
allmenne                     82        198
allment                      79        146
allmugen                     18        458
allsidig                     25         49
almindelig                   19         42
almindelige                  17         57
alminneleg                   30         85
alminnelege                  36        139
alminnelige                  18         33
als                          31        161
altfor                      110        223
altid                        21         49
altso                        21        283
alvor                       203        430
alvoret                      24         64
alvorleg                    174        450
alvorlege                   103        246
ambisjon                     21         46
ambisjonar                   49        119
ambivalens                   22         46
ambivalente                  22         65
america                      29         86
american                    148        736
amerika                      49        165
amerikanarane                17         57
amsterdam                    28         85
amt                          15         56
amund                        24        251
analogi                      23         60
analogt                      16         31
analysa                      25        105
analysane                   119        426
analysar                    125        358
analysearbeidet              37         96
analysedelen                 20         43
analysekapittelet            17         48
analysemetode                17         38
analysen                    647       2011
analyseprosessen             28         77
analysera                    66        191
analyserar                   21         41
analyserast                  48         90
analysere                   241        631
analyserer                   94        212
analysering                  21         36
analysert                   176        446
analyserte                   65        138
analytisk                   132        320
analytiske                  105        263
anar                         17         35
anbefalingar                 21         63
ande                         29         86
andel                        48        143
andelen                      44        113
andenæs                     22        114
anders                      159        605
andersen                    118        374
anderson                     32        129
andersson                    41        244
andet                        33        102
andlet                       28        101
andletet                     34        144
andor                        21         36
andra                        17         43
andreas                      50        160
andreassen                   16         74
andres                       85        250
andresen                     21         81
andrew                       35        107
andre»                      18         45
andre”                     52        159
andré                       16         48
andsynes                     49        371
ane                          56        136
anerkjende                   17         40
anerkjenne                   30         55
anerkjenner                  36         67
anerkjenning                 66        262
anerkjent                    35         79
anerkjente                   20         36
ang                          15         97
